product_id,sap_product_code,web_product_code,name
985,NULL,ZRC0147,(Short Expiry) Royal Canin Cardiac Adult Dog Food 2 KG
988,NULL,ZMM0484,Kitty Crunch Cat Treats Seafood
988,NULL,ZMM0479,Kitty Crunch Cat Treats Chicken
988,NULL,ZMM0483,Kitty Crunch Cat Treats Salmon
988,NULL,ZMM0482,Kitty Crunch Cat Treats Tuna
988,NULL,ZMM0481,Kitty Crunch Cat Treats Lamb
988,NULL,ZMM0480,Kitty Crunch Cat Treats Beef
1012,NULL,ZMM0670,Silvervine Plush Balls Cat Toy
1013,NULL,ZMM0671,Silvervine Stuffed Animal Cat Toy
1014,NULL,ZMM0672,Silvervine Seagrass Animal Cat Toy
1015,NULL,ZMM0673,Silvervine Plush Mice Cat Toy
1016,NULL,ZMM0674,Silvervine Twitchy Teaser Cat Wand
1017,NULL,ZMM0680,Grumpy Cat Plush Doorknob Hanger Cat Toy
1018,NULL,ZMM0681,Grumpy Cat Hair Ball Cat Toy
1019,NULL,ZMM0682,Fluffy Grumpy Cat Toy 
1020,NULL,ZMM0683,Grumpy Cat Blind Mouse Cat Toy
1021,NULL,ZMM0684,Grumpy Cat Annoying Plush Cat Wand Toy
1022,NULL,ZMM0675,Jolly Moggy Natural Catnip Mini Mice Cat Toys
1023,NULL,ZMM0676,Jolly Moggy Natural Feather Teaser Cat Wand
1024,NULL,ZMM0677,Jolly Moggy Cat Tunnel Cat Toy
1025,NULL,ZMM0678,Jolly Moggy Cheeky Mouse Cat Toy
1026,NULL,ZMM0679,Jolly Moggy Vibromouse Cat Toy
1027,NULL,ZMM0687,Silvervine Teasin’ Tail Cat Wand Toy
1028,NULL,ZMM0686,Grumpy Cat Catfish Cat Wand
1032,NULL,ZMM0690,Coriander Natural Cat Scratcher
